TRANSECT,SITE,REEFTYPE,Caranx melampygus,Caranx sexfasciatus,Carangoides bajad,Elagatis bipinnulata,Caranx ignobilis,Carcharhinus amblyrhynchos,Carcharhinus melanopterus,Plectorhinchus picus,Lethrinus erythracanthus,Monotaxis grandoculis,Monotaxis heterodon,Lutjanus bohar,Lutjanus monostigma,Macolor macularis,Lutjanus semicinctus,Lutjanus gibbus,Lutjanus ehrenbergii,Macolor niger,Lutjanus carponotatus,Lutjanus kasmira,Lutjanus biguttatus,Pinjalo lewisi,Gymnosarda unicolor,Grammatorcynus bilineatus,Cephalopholis microprion,Cephalopholis leopardus,Cephalopholis argus,Plectropomus oligacanthus,Epinephelus coeruleopunctatus,Pseudanthias huchtii,Cephalopholis cyanostigma,Epinephelus fasciatus,Epinephelus areolatus,Plectropomus leopardus,Plectropomus maculatus,Epinephelus polyphekadion,Variola albimarginata,Anyperodon leucogrammicus,Cephalopholis miniata,Gracila albomarginata,Sphyraena qenie
DON1,Donnas,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DON2,Donnas,NEARSHORE,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
DON3,Donnas,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,
DON4,Donnas,NEARSHORE,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DON5,Donnas,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
DON6,Donnas,NEARSHORE,,,,,,,,,,,,,,1,2,2,1,,,,,,,,,,1,,,,,,,,,,,,,,
SUSA1,Susans,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SUSA2,Susans,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSA3,Susans,NEARSHORE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSA4,Susans,NEARSHORE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSA5,Susans,NEARSHORE,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SUSA6,Susans,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADA1,Madaro,NEARSHORE,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
MADA2,Madaro,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADA3,Madaro,NEARSHORE,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
MADA4,Madaro,NEARSHORE,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
LADI1,Lady Di,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
LADI2,Lady Di,NEARSHORE,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,
LADI3,Lady Di,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LADI4,Lady Di,NEARSHORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAD1,Bradford,SEAMOUNT,6,3,3,,,3,1,1,1,,,,,3,,1,,3,2,3,,,,,,,,1,,,,,,,,,,,,,
BRAD2,Bradford,SEAMOUNT,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAD3,Bradford,SEAMOUNT,1,,1,2,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,905
BRAD4,Bradford,SEAMOUNT,1,,,,,,,,,1,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,
BRAD5,Bradford,SEAMOUNT,1,7,2,,,1,,,,,,,,,,1,,,,2,,46,,,,,1,,,,,2,1,,,,,,,,
KIMBO1,Kimbe Bomie,SEAMOUNT,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMBO2,Kimbe Bomie,SEAMOUNT,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,
KIMBO3,Kimbe Bomie,SEAMOUNT,,,,,,,,,,,,,,6,,2,,1,,,,,,,,,,,,,,,,,1,1,,,,,
KIMBO4,Kimbe Bomie,SEAMOUNT,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,
KIMBO5,Kimbe Bomie,SEAMOUNT,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,
KIMBO6,Kimbe Bomie,SEAMOUNT,2,,,1,1,,,,,,,,,4,,1,,1,,,,,2,2,,,,,,,,,,,,,1,,,,
KIMBO7,Kimbe Bomie,SEAMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
KIMBO8,Kimbe Bomie,SEAMOUNT,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,2,,
ING1,Inglis,SEAMOUNT,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,,2,,,,
ING2,Inglis,SEAMOUNT,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
ING3,Inglis,SEAMOUNT,,,,,,,,,,,,,,2,,1,,,,,4,,,,,,,,,,,,,,,,,,,,
ING4,Inglis,SEAMOUNT,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
JOL1,Joelles,SEAMOUNT,7,18,,,,,,,,,,1,,4,,1,,1,,,,,,,1,,,,,,,,,1,1,,3,,,,
JOL2,Joelles,SEAMOUNT,,76,,,,,,,,,,1,,3,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
JOL3,Joelles,SEAMOUNT,1,6,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,26
JOL4,Joelles,SEAMOUNT,,,,,,,,,,,,1,,7,,2,,,,,,,,,,,,,,,,,,1,,,,,,,3
JOL5,Joelles,SEAMOUNT,4,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,4
JOL6,Joelles,SEAMOUNT,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOL7,Joelles,SEAMOUNT,3,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,1,
