TRANSECT,DON1,DON2,DON3,DON5,DON6,SUSA1,SUSA2,SUSA3,SUSA4,SUSA5,MADA1,MADA2,MADA3,MADA4,MADA5,LADI1,LADI2,LADI3,LADI4,LADI5,OTTO1,OTTO2,OTTO3,OTTO4,OTTO5,HOGU1,HOGU2,HOGU3,HOGU4,HOGU5,EMA1,EMA2,EMA3,EMA4,EMA5,KIS1,KIS2,KIS3,KIS4,KIS5,BRAD1,BRAD2,BRAD3,BRAD4,BRAD5,KIMBO2,KIMBO3,KIMBO4,KIMBO5,KIMBO6,ING1,ING2,ING3,ING4,ING5,JOL1,JOL2,JOL4,JOL5,JOL7
SITE,Donnas,Donnas,Donnas,Donnas,Donnas,Susans,Susans,Susans,Susans,Susans,Madaro,Madaro,Madaro,Madaro,Madaro,Lady Di,Lady Di,Lady Di,Lady Di,Lady Di,Ottos,Ottos,Ottos,Ottos,Ottos,Hogu,Hogu,Hogu,Hogu,Hogu,Ema,Ema,Ema,Ema,Ema,Kimbe Island,Kimbe Island,Kimbe Island,Kimbe Island,Kimbe Island,Bradford,Bradford,Bradford,Bradford,Bradford,Kimbe Bomie,Kimbe Bomie,Kimbe Bomie,Kimbe Bomie,Kimbe Bomie,Inglis,Inglis,Inglis,Inglis,Inglis,Joelles,Joelles,Joelles,Joelles,Joelles
REEFTYPE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,NEARSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,OFFSHORE,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT,SEAMOUNT
Caranx melampygus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,0,3,0,0,2,0,0,0,0,1,7,0,0,4,3
Caranx sexfasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6,18,76,0,2,0
Carangoides bajad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elagatis bipinnulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Caranx ignobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carcharhinus amblyrhynchos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carcharhinus melanopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectorhinchus picus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
