"","REEFTYPE","Caranx melampygus"
"DON1","NEARSHORE","0"
"DON2","NEARSHORE","0"
"DON3","NEARSHORE","0"
"DON5","NEARSHORE","0"
"DON6","NEARSHORE","0"
"SUSA1","NEARSHORE","0"
"SUSA2","NEARSHORE","0"
"SUSA3","NEARSHORE","0"
"SUSA4","NEARSHORE","0"
"SUSA5","NEARSHORE","0"
"MADA1","NEARSHORE","0"
"MADA2","NEARSHORE","0"
"MADA3","NEARSHORE","0"
"MADA4","NEARSHORE","0"
"MADA5","NEARSHORE","0"
"LADI1","NEARSHORE","0"
"LADI2","NEARSHORE","0"
"LADI3","NEARSHORE","0"
"LADI4","NEARSHORE","0"
"LADI5","NEARSHORE","0"
"OTTO1","OFFSHORE","0"
"OTTO2","OFFSHORE","0"
"OTTO3","OFFSHORE","0"
"OTTO4","OFFSHORE","0"
"OTTO5","OFFSHORE","0"
"HOGU1","OFFSHORE","0"
"HOGU2","OFFSHORE","0"
"HOGU3","OFFSHORE","0"
"HOGU4","OFFSHORE","0"
"HOGU5","OFFSHORE","0"
"EMA1","OFFSHORE","0"
"EMA2","OFFSHORE","0"
"EMA3","OFFSHORE","0"
"EMA4","OFFSHORE","0"
"EMA5","OFFSHORE","0"
"KIS1","OFFSHORE","0"
"KIS2","OFFSHORE","0"
"KIS3","OFFSHORE","0"
"KIS4","OFFSHORE","0"
"KIS5","OFFSHORE","0"
"BRAD1","SEAMOUNT","6"
"BRAD2","SEAMOUNT","0"
"BRAD3","SEAMOUNT","1"
"BRAD4","SEAMOUNT","1"
"BRAD5","SEAMOUNT","1"
"KIMBO2","SEAMOUNT","0"
"KIMBO3","SEAMOUNT","3"
"KIMBO4","SEAMOUNT","0"
"KIMBO5","SEAMOUNT","0"
"KIMBO6","SEAMOUNT","2"
"ING1","SEAMOUNT","0"
"ING2","SEAMOUNT","0"
"ING3","SEAMOUNT","0"
"ING4","SEAMOUNT","0"
"ING5","SEAMOUNT","1"
"JOL1","SEAMOUNT","7"
"JOL2","SEAMOUNT","0"
"JOL4","SEAMOUNT","0"
"JOL5","SEAMOUNT","4"
"JOL7","SEAMOUNT","3"
